buoyid,alpha_real,alpha_imag
M527D20200910H18,0.1210487248449837,0.08270707171136482
M528D20200910H17,0.04112210112099168,0.018800473563523688
M529D20200910H17,0.028422948897154746,0.024522030146283607
M530D20200911H13,0.028892835096726292,0.00705634605079534
M531D20200911H12,0.07100356394724183,-0.020093965128157015
M532D20200910H12,0.005709308353976689,-0.001631185274270687
M533D20200910H12,0.04196912247329491,0.0010159532792685427
M533D20200913H06,0.0022443348565583414,0.12345728300599984
M534D20200910H14,0.047516942694543506,0.1239675545868641
M535D20200910H14,-0.005477427714902845,0.001585449187441858
M536D20200910H14,-0.0043346342712980365,-0.007309174029181338
M537D20200910H14,0.07385245863295116,-0.015461270429430189
M538D20200910H15,0.029004324553233266,-0.012046319504359707
M539D20200910H14,0.00818109351778108,-0.017591788868549285
M540D20200910H15,0.16950027512562077,-0.00530394918861765
M541D20200910H15,0.17693099182410305,-0.02603711984034942
M542D20200910H16,-0.006784443698553186,-0.0139221084198671
M543D20200910H15,0.07878880023655344,-0.07360573473054163
M544D20200910H14,0.031977262589595865,-0.038599257347274776
M546D20200910H15,0.0043766126884046885,-0.017339176603883483
M547D20200910H15,0.09037343487415392,-0.088467908286296
M548D20200910H14,0.010506302437203172,-0.03873306053569011
M549D20200910H14,0.007241941504946457,-0.029567341813722295
M550D20200910H14,-0.017394347238240765,-0.020613987990386048
M551D20200910H15,0.03317626403223963,-0.018941636259698615
M552D20200910H11,0.007692451032091026,0.015210503134408438
M553D20200910H11,0.002963003190091673,-0.011127431155436284
M554D20200910H11,0.05654488608502657,0.029766887687470128
M555D20200910H12,0.09292390201032615,0.054833573587983166
M557D20200910H11,0.0038825609288647605,0.020848857426559175
M558D20200910H11,0.020665273305681065,0.020124856021831408
M559D20200910H12,0.10479308311918235,0.06074824501487294
M560D20200910H12,0.01676852306986961,0.03806827669117072
M562D20200910H15,0.035465120546887025,-0.0210866033221358
M563D20200910H14,-0.003342302971258298,-0.036371538530364046
M564D20200910H14,0.04966388700306811,-0.0685006131886191
M565D20200910H14,0.08569153484132598,-0.08485434778293204
M565D20200913H20,-0.182192617019422,-0.012797810615352198
M566D20200910H15,0.04419310062002749,-0.016773692766804085
M567D20200910H15,0.011331385127874082,0.002668403671261856
M568D20200910H14,0.004942107779931054,-0.010668529191801635
M570D20200910H15,0.015885710770211902,-0.017456120771975878
M571D20200910H14,0.057051328015189695,0.034427681896750044
M572D20200910H14,0.11331397960976076,0.07967307722136298
M573D20200910H11,0.039023023976997404,0.008171057868766502
M574D20200910H11,0.02141458399703171,0.021479805206902316
M575D20200910H11,0.02369962414309596,0.0035315093659773894
M576D20200910H12,-0.0029289721103483886,0.004479908005602522
M578D20200910H11,0.04169638269594119,0.017809679889639222
